,2010,2015,2020
COA_SC_LN,102.199,18.845,0.0
COA_USC_LN,0.0,0.0,0.0
COA_IGCC_LN,0.0,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0,0.0
GAS_GT,0.0,11.75,22.551
GAS_CC,11.312,40.44,84.366
GAS_NGCC_POS_CCS,0.0,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0,0.0
NUK_LWR,0.25,0.558,0.883
REW_HYD_LG,0.0,0.0,0.0
REW_HYD_PS,0.0,0.0,0.0
REW_WND_ON_2530,0.0,0.0,0.0
REW_WND_ON_3035,0.0,0.0,0.0
REW_WND_ON_3540,0.0,0.0,0.0
REW_WND_ON_40UP,0.0,0.0,0.0
REW_PV_UTI,0.0,0.0,0.0
REW_PV_RFT,0.0,0.0,0.0
BIO_ST,0.0,0.0,0.0
BIO_CHP,30.008,74.139,113.922
BIO_IGCC,0.0,0.0,0.0
BIO_IGCC_CCS,0.0,0.0,0.0
BIO_IGCC_CHP,0.0,0.0,0.0
COA_CHP_BP_DH,22.513,52.509,82.505
COA_CHP_EC_DH,0.0,0.0,0.0
GAS_CHP_BP_DH,16.389,38.226,60.062
GAS_CHP_EC_DH,0.0,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0,7.465
OIL_ST,0.0,0.0,0.0
