,2010,2015
COA_SUB_LN,18.835,1.36
COA_SC_LN,0.0,0.0
COA_USC_LN,0.0,0.0
COA_IGCC_LN,0.0,0.0
COA_USC_POS_CCS_LN,0.0,0.0
GAS_GT,0.104,0.03
GAS_CC,0.499,2.333
GAS_NGCC_POS_CCS,0.0,0.0
GAS_NGCC_OXY_CCS,0.0,0.0
NUK_LWR,29.532,28.082
REW_HYD_LG,4.93,4.93
REW_HYD_PS,0.415,0.415
REW_WND_ON_3035,1.775,2.626
REW_WND_ON_3540,0.0,2.914
REW_WND_ON_40UP,0.0,3.272
REW_PV_UTI,0.0,0.308
REW_PV_RFT,0.0,0.0
REW_PV_CSP,0.0,0.0
REW_PV_CSP_6h,0.0,0.0
REW_GEO_FLA,0.0,0.0
REW_GEO_BIN,1.872,1.872
REW_GEO_EGS,0.0,0.0
BIO_ST,0.0,0.0
BIO_CHP,0.621,0.794
BIO_IGCC,0.0,0.0
BIO_IGCC_CCS,0.0,0.0
BIO_IGCC_CHP,0.0,0.0
COA_CHP_BP_DH,2.316,2.316
COA_CHP_EC_DH,0.0,0.0
GAS_CHP_BP_DH,1.153,1.158
GAS_CHP_EC_DH,0.0,0.0
COA_CHP_EC_CCS_DH,0.0,0.0
GAS_CHP_EC_CCS_DH,0.0,0.0
OIL_ST,0.0,0.0
