COA_SUB_LN,2010,2015
1,602.68,0.0
2,423.82,0.0
3,385.75,0.0
4,265.05,0.0
5,265.05,0.0
6,529.87,0.0
7,954.18,0.0
8,954.18,265.05
9,954.18,308.68
10,954.18,265.05
11,954.18,449.44
12,954.18,423.66
13,954.0,265.05
14,954.18,305.21
15,954.18,265.05
16,954.18,265.05
17,954.18,265.05
18,954.18,423.65
19,954.18,417.4
20,954.18,265.05
21,954.18,0.0
22,954.18,0.0
23,954.18,0.0
24,954.18,0.0
25,324.6,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,343.52,0.0
33,374.19,0.0
34,696.62,0.0
35,672.88,0.0
36,805.86,0.0
37,660.54,0.0
38,682.42,0.0
39,566.46,0.0
40,607.46,0.0
41,637.59,0.0
42,689.13,0.0
43,689.13,0.0
44,689.13,0.0
45,742.66,0.0
46,388.3,0.0
47,593.61,0.0
48,350.08,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,265.05,0.0
56,817.25,0.0
57,689.13,0.0
58,809.56,0.0
59,816.89,0.0
60,871.53,0.0
61,734.47,0.0
62,777.26,0.0
63,721.92,0.0
64,744.37,0.0
65,724.67,0.0
66,954.18,0.0
67,954.18,0.0
68,954.18,0.0
69,954.18,0.0
70,265.05,0.0
71,265.05,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
99,0.0,0.0
100,0.0,0.0
101,0.0,0.0
102,0.0,0.0
103,0.0,0.0
104,265.05,0.0
105,477.09,0.0
106,477.09,0.0
107,477.09,0.0
108,477.09,0.0
109,477.09,0.0
110,477.09,0.0
111,477.09,0.0
112,477.09,0.0
113,477.09,0.0
114,477.09,0.0
115,265.05,0.0
116,265.05,0.0
117,265.05,0.0
118,0.0,0.0
119,0.0,0.0
120,0.0,0.0
121,0.0,0.0
122,0.0,0.0
123,0.0,0.0
124,0.0,0.0
125,0.0,0.0
126,0.0,0.0
127,0.0,0.0
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,0.0,0.0
132,0.0,0.0
133,0.0,0.0
134,0.0,0.0
135,0.0,0.0
136,0.0,0.0
137,0.0,0.0
138,0.0,0.0
139,0.0,0.0
140,0.0,0.0
141,0.0,0.0
142,0.0,0.0
143,0.0,0.0
144,0.0,0.0
145,0.0,0.0
146,0.0,0.0
147,0.0,0.0
148,0.0,0.0
149,0.0,0.0
150,0.0,0.0
151,632.89,0.0
152,689.13,0.0
153,689.13,0.0
154,689.13,0.0
155,689.13,0.0
156,689.13,0.0
157,689.13,0.0
158,689.13,0.0
159,689.13,0.0
160,689.13,0.0
161,689.13,0.0
162,689.13,0.0
163,954.18,0.0
164,954.18,0.0
165,689.13,0.0
166,493.64,0.0
167,434.88,0.0
168,265.05,0.0
169,0.0,0.0
170,0.0,0.0
171,0.0,0.0
172,0.0,0.0
173,0.0,0.0
174,0.0,0.0
175,0.0,0.0
176,0.0,0.0
177,0.0,0.0
178,0.0,0.0
179,0.0,0.0
180,0.0,0.0
181,0.0,0.0
182,0.0,0.0
183,0.0,0.0
184,0.0,0.0
185,0.0,0.0
186,0.0,0.0
187,0.0,0.0
188,0.0,0.0
189,0.0,0.0
190,0.0,0.0
191,0.0,0.0
192,0.0,0.0
COA_SC_LN,2010,2015
1,0.0,0.0
2,0.0,0.0
3,0.0,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.0,0.0
12,0.0,0.0
13,0.0,0.0
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,0.0,0.0
18,0.0,0.0
19,0.0,0.0
20,0.0,0.0
21,0.0,0.0
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,0.0,0.0
27,0.0,0.0
28,0.0,0.0
29,0.0,0.0
30,0.0,0.0
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
45,0.0,0.0
46,0.0,0.0
47,0.0,0.0
48,0.0,0.0
49,0.0,0.0
50,0.0,0.0
51,0.0,0.0
52,0.0,0.0
53,0.0,0.0
54,0.0,0.0
55,0.0,0.0
56,0.0,0.0
57,0.0,0.0
58,0.0,0.0
59,0.0,0.0
60,0.0,0.0
61,0.0,0.0
62,0.0,0.0
63,0.0,0.0
64,0.0,0.0
65,0.0,0.0
66,0.0,0.0
67,0.0,0.0
68,0.0,0.0
69,0.0,0.0
70,0.0,0.0
71,0.0,0.0
72,0.0,0.0
73,0.0,0.0
74,0.0,0.0
75,0.0,0.0
76,0.0,0.0
77,0.0,0.0
78,0.0,0.0
79,0.0,0.0
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,0.0,0.0
84,0.0,0.0
85,0.0,0.0
86,0.0,0.0
87,0.0,0.0
88,0.0,0.0
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
